City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,puerto deseado,-47.7503,-65.8938,282.15,60,0,6.97,AR,1699846887
334,zambezi,-13.5432,23.1047,291.4,87,97,1.89,ZM,1699846956
335,kismayo,-0.3582,42.5454,300.45,80,82,2.64,SO,1699846956
336,gaoual,11.75,-13.2,295.19,63,15,0.51,GN,1699846956
337,yreka,41.7354,-122.6345,284.25,68,0,0.0,US,1699846856
338,mossel bay,-34.1831,22.146,284.11,75,2,1.84,ZA,1699846957
339,san pedro,14.35,121.0167,304.99,69,75,3.6,PH,1699846957
340,fort bragg,35.139,-79.006,284.9,79,0,2.06,US,1699846957
341,north platte,41.1239,-100.7654,281.69,55,0,2.68,US,1699846958
342,egilsstadir,65.2653,-14.3948,273.1,93,20,3.6,IS,1699846958
343,villa regina,-39.1,-67.0667,285.92,15,0,0.89,AR,1699846958
344,valkeakoski,61.2642,24.0312,272.74,87,100,4.55,FI,1699846958
345,prince rupert,54.3161,-130.3201,280.98,73,100,3.6,CA,1699846811
346,nar'yan-mar,67.6713,53.087,261.54,94,42,2.24,RU,1699846783
347,ylitornio,66.3089,23.6773,260.81,97,100,2.33,FI,1699846959
348,saudarkrokur,65.7461,-19.6394,272.2,71,96,3.04,IS,1699846959
349,tofol,5.3248,163.0078,301.03,78,100,5.14,FM,1699846959
350,fort mcmurray,56.7268,-111.381,271.88,93,20,2.06,CA,1699846757
351,caleta de carquin,-11.0925,-77.6267,292.62,85,16,4.12,PE,1699846751
352,pacasmayo,-7.4006,-79.5714,292.45,84,4,6.1,PE,1699846959
353,vilyuysk,63.7553,121.6247,255.93,94,70,1.79,RU,1699846960
354,katsuura,35.1333,140.3,283.91,69,94,7.41,JP,1699846779
355,saint-francois,46.4154,3.9054,286.84,94,100,3.09,FR,1699846780
356,deori khas,23.4,79.0167,295.85,51,12,2.18,IN,1699846960
357,broken hill,-31.95,141.4333,302.63,15,30,4.93,AU,1699846669
358,korla,41.7597,86.1469,279.51,55,79,0.38,CN,1699846960
359,polyarnyy,69.1989,33.4478,263.44,95,93,4.38,RU,1699846960
360,peterhead,57.5058,-1.7981,281.37,89,100,14.46,GB,1699846961
